id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
21999293,Cuarto baño privado Avante Coyoacán cerca Taxqueña,160638097,Juli,,Coyoacán,19.32972,-99.13387,Private room,221,30,0,,,2,359
22000034,"Súper ubicado, transporte a todas partes!",51222699,Marina,,Benito Juárez,19.38478,-99.17739,Private room,300,3,18,2020-03-12,0.51,2,358
22001152,Rento recámara,160653167,Erick,,Cuajimalpa de Morelos,19.36335,-99.29457,Private room,326,1,0,,,1,0
22010964,Increible Loft Moderno,75096191,Rachell,,Tlalpan,19.30077,-99.16803,Private room,350,1,42,2020-04-14,1.13,1,0
22013592,"PA126-P7, @ 4 blocks from World Trade Center!!!",134086762,Alonso,,Benito Juárez,19.3876,-99.17867,Entire home/apt,900,7,3,2019-10-27,0.18,6,365
22013990,Lush apartment in Condesa 4pax (G1),4448934,John,,Cuauhtémoc,19.41271,-99.18034,Entire home/apt,1286,1,12,2020-10-05,0.32,33,363
22014355,Departamento 2 recamaras de lujo 100 m2,162551992,Darwin,,Miguel Hidalgo,19.43417,-99.2117,Entire home/apt,2500,1,30,2020-02-20,0.83,8,365
22015445,Eagle art studio at Condesa for 4pax (G3),4448934,John,,Miguel Hidalgo,19.41372,-99.18126,Entire home/apt,1340,2,5,2019-02-23,0.14,33,357
22015791,Polanco acogedor departamento,160645856,Natalia,,Miguel Hidalgo,19.43446,-99.18681,Entire home/apt,850,1,0,,,2,0
22016032,LaViga875,160766124,Mauricio,,Iztacalco,19.38978,-99.12282,Private room,400,1,2,2018-05-06,0.06,1,179
22016125,Historical House-Private Room! Near Hot Spots,34213141,Kevino,,Cuauhtémoc,19.42124,-99.15493,Private room,480,1,183,2020-11-14,5.05,9,88
22016230,Beautiful room by La Palomilla Bed and Breakfast,10014804,La Palomilla,,Cuauhtémoc,19.41783,-99.17255,Private room,2793,1,0,,,9,348
22016785,Excellent Apartment in the middle of Mexico City!,45029087,Manuel,,Cuauhtémoc,19.42821,-99.15883,Entire home/apt,703,2,103,2020-12-05,2.78,3,45
22018495,Depto/Loft de diseñador (Cama Queen Size) 1-2 pers,62108795,Enrique,,Álvaro Obregón,19.34039,-99.24369,Entire home/apt,800,1,3,2018-02-15,0.08,2,82
22018842,Your cozy&spacious home Escandón Condesa WTC Roma,4001003,María,,Miguel Hidalgo,19.3999,-99.17164,Entire home/apt,1788,3,102,2020-03-15,2.75,1,267
22020168,"Suite (2) Reforma/Angel, excelente ubicacion",36159212,Yulia,,Cuauhtémoc,19.43313,-99.16656,Entire home/apt,620,1,150,2020-12-08,4.05,5,365
22028602,"Loft Atenor """"""""OMI""""""""",99100893,Omar,,Benito Juárez,19.40201,-99.14865,Entire home/apt,570,2,28,2020-11-30,0.77,12,179
22029106,City Center Deluxe⭐Steps away from Downtown Scene,8159749,Adriana Chantli,,Cuauhtémoc,19.43787,-99.1474,Entire home/apt,751,1,165,2020-12-11,4.62,3,360
22032520,Agradable Estudio-Loft en la Condesa,85361866,Dolores María Del Carmen,,Cuauhtémoc,19.40923,-99.17537,Entire home/apt,680,2,67,2020-10-11,1.86,2,73
22039328,Departamento en el Centro Histórico de Coyoacan,160957853,Elisa Carolina,,Coyoacán,19.34686,-99.16647,Entire home/apt,480,3,86,2020-12-19,3.25,1,340
22043289,Agradable habitación,160869841,Angel,,Coyoacán,19.3164,-99.11165,Private room,200,1,3,2019-03-05,0.10,1,129
22046722,Amueblados del sur,97526137,Jeniffer,,Coyoacán,19.31488,-99.11856,Entire home/apt,355,1,7,2018-11-29,0.19,5,0
22046796,Incredible Bright Loft in Polanco,5755202,Andres,,Miguel Hidalgo,19.43928,-99.18608,Entire home/apt,1989,3,0,,,38,0
22047824,"Loft 6 Céntrico,cómodo,buen precio CDMX Sanitizado",157291355,Ana,,Cuauhtémoc,19.44055,-99.15335,Private room,342,1,158,2020-12-21,4.44,4,356
22050354,Excelente habitación para 4 personas.,118703522,Diego,,Cuauhtémoc,19.42435,-99.15946,Private room,904,1,72,2020-02-24,1.94,6,364
22059605,Buena Vibra Home (Paseo de la Reforma) Room 3,161126659,Sandy,,Cuauhtémoc,19.43203,-99.16741,Private room,300,3,1,2018-06-04,0.03,4,364
22062139,"Pent House sobre Reforma, espectacular vista!",161148003,Paola,,Cuauhtémoc,19.43733,-99.14758,Entire home/apt,1350,3,33,2018-09-23,0.91,1,1
22063902,Perfect for layover near international airport,161164131,"Ruth, Rebeca Y Alejandro",,Gustavo A. Madero,19.45253,-99.07517,Private room,301,1,258,2020-09-17,6.93,1,179
22066513,Nice room in CDMX,27913133,Sandrushka,,Benito Juárez,19.38958,-99.176,Private room,475,1,26,2020-01-24,0.71,1,162
22067157,Tranquila recámara con hermosa vista.,118703522,Diego,,Cuauhtémoc,19.42481,-99.15933,Private room,904,1,27,2020-02-25,0.73,6,364
22067350,Departamento privado a 5 minutos de Condesa.,129106347,Gustavo,,Miguel Hidalgo,19.40071,-99.17597,Entire home/apt,735,3,23,2019-08-13,0.66,1,141
22067586,"NUEVO LOFT ZONA POLANCO - LOMAS,CERCA CITY BANAMEX",161197108,Rosa Del Carmen,,Miguel Hidalgo,19.43306,-99.21315,Entire home/apt,949,2,149,2020-12-11,4.11,1,362
22076039,Beautiful design loft with balcony in Condesa,109500943,Jose Antonio,,Cuauhtémoc,19.41444,-99.16728,Entire home/apt,1415,2,129,2020-12-06,3.64,2,3
22078067,Departamento a 10 minutos del Aeropuerto,82166441,Sergio,,Gustavo A. Madero,19.45239,-99.10385,Entire home/apt,401,2,49,2020-11-29,1.37,1,177
22081117,Hermosa habitación en Santa fe,27142135,Gianna,,Cuajimalpa de Morelos,19.35643,-99.27516,Private room,4500,1,0,,,1,363
22081834,WTC a 2 calles. Excelente Recamara -  Baño Privado,159631334,Martha,,Benito Juárez,19.39372,-99.17047,Private room,600,2,63,2020-03-21,1.89,2,90
22082435,El templo de inspiración,95875353,Scarlet,,Cuauhtémoc,19.41516,-99.16813,Entire home/apt,1000,2,15,2019-12-05,0.41,1,180
22082966,the heart hipster colonia Roma 2,51032284,Roberto,,Cuauhtémoc,19.41473,-99.1577,Entire home/apt,703,2,12,2019-12-31,0.46,6,365
22083614,Vive en Grand Park/Antara Carso Polanco,161318685,Fania,,Miguel Hidalgo,19.44165,-99.19764,Entire home/apt,1495,2,12,2020-04-05,0.59,1,0
22083986,Entire Department Polanco-Lago Merú 65,161321531,Marcela,,Miguel Hidalgo,19.43906,-99.19132,Entire home/apt,1406,1,255,2020-12-07,6.86,1,360
22084876,El espacio que mereces,150023553,Álvaro,,Xochimilco,19.26856,-99.14009,Entire home/apt,690,2,51,2020-12-06,1.39,1,363
22084922,"Precious app great  located, Condesa",7461061,Camilo,,Cuauhtémoc,19.40831,-99.17416,Entire home/apt,1788,2,6,2020-01-01,0.17,6,89
22085482,"Modern Luxury Apartment, Only for VIP Executives.",103617442,Erico,,Cuajimalpa de Morelos,19.36157,-99.26674,Entire home/apt,3000,20,11,2019-02-09,0.30,1,179
22086099,Comfortable bedroom with nice view in Roma Norte,112779843,Carla,,Cuauhtémoc,19.41924,-99.15725,Private room,285,2,12,2018-08-31,0.35,2,237
22086168,Perfecto para conocer México. Estudiantes,161338455,Joel,,Cuauhtémoc,19.42864,-99.1532,Private room,280,1,0,,,1,1
22086506,Grandiosa estancia en la CDMX,118703522,Diego,,Cuauhtémoc,19.4244,-99.16026,Shared room,5023,1,30,2019-12-17,0.86,6,358
22087397,Habitación Zócalo-Centro Histórico,52710918,Mercedes,,Cuauhtémoc,19.43169,-99.1322,Private room,5000,10,51,2019-02-18,1.38,1,0
22087671,"Hospedaje para Cubanos, cerca del aeropuerto",160365873,Ana,,Venustiano Carranza,19.41177,-99.07879,Private room,1507,4,0,,,3,17
22087718,"Luxurious & New Penthouse 1,200 ft2 Best location",161352023,Jennifer,,Miguel Hidalgo,19.43616,-99.19521,Entire home/apt,23523,2,3,2019-07-26,0.16,2,85
22087896,Chic Penthouse in the heart of Polanco,161352023,Jennifer,,Miguel Hidalgo,19.43534,-99.19481,Entire home/apt,8017,2,82,2020-06-27,2.26,2,192
22087900,Contemporary & Retro in La Condesa,2952886,Margarita,,Cuauhtémoc,19.40881,-99.17528,Entire home/apt,1105,1,36,2020-08-31,0.99,2,113
22087936,Comfortable room with priv. bathroom in Roma Norte,112779843,Carla,,Cuauhtémoc,19.42119,-99.15703,Private room,400,1,75,2019-12-24,2.02,2,275
22088430,ambiente fraterno y cordial,161357496,Hector,,Coyoacán,19.33467,-99.1348,Private room,241,1,1,2018-01-06,0.03,1,0
22097666,Casa Borunda,45306058,Natalia,,Cuauhtémoc,19.44536,-99.15679,Entire home/apt,450,3,65,2020-11-29,1.79,1,364
22098203,Cozy sunny new apt. near Reforma & Down Town,7738527,Viridiana,,Cuauhtémoc,19.43257,-99.15177,Entire home/apt,663,4,62,2020-12-17,1.70,2,356
22098665,Private room Tolu at Condesa by La Palomilla,10014804,La Palomilla,,Cuauhtémoc,19.41783,-99.17255,Private room,1989,1,0,,,9,348
22099436,Cozy studio with private terrace Colonia Roma,44467980,Sergio,,Cuauhtémoc,19.42399,-99.15605,Private room,422,60,3,2018-06-10,0.08,3,180
22100633,Habitación a compartir  baño cerca del Aeropuerto,117701171,Ana Luisa,,Cuauhtémoc,19.40789,-99.13365,Private room,350,2,8,2020-03-01,0.23,1,88
22103791,Room with private bathroom 10m Airp,130445565,Erika,,Gustavo A. Madero,19.45031,-99.06653,Private room,441,1,119,2020-03-16,3.20,2,299
22103875,Admire Mexico City from a Twinkling Balcony by La Palomilla,10014804,La Palomilla,,Cuauhtémoc,19.41782,-99.17474,Private room,1989,1,4,2019-12-29,0.11,9,348
22105147,Rana cozy suite ensuite bathroom by La Palomilla,10014804,La Palomilla,,Cuauhtémoc,19.41783,-99.17255,Private room,2391,1,1,2020-02-26,0.10,9,348
22106483,"☆Coyoacán Lovely, Located & Cozy Apartament☆",161490143,Luis,,Coyoacán,19.35201,-99.1633,Entire home/apt,874,1,142,2020-05-03,4.14,1,0
22106594,"Acogedora habitación, en la CDMX",118703522,Diego,,Cuauhtémoc,19.42546,-99.16096,Private room,703,1,6,2019-06-30,0.16,6,365
22106643,★Lindo Depa • Seguro | Santa Maria La Ribera | 2BR,299319302,Jimena,,Cuauhtémoc,19.45067,-99.16337,Entire home/apt,957,2,39,2020-12-12,1.07,2,363
22108275,Suite Individual/Baño Privado/Totalmente Equipada,98047252,Maria Jose,,La Magdalena Contreras,19.31122,-99.22293,Private room,600,7,6,2019-12-14,0.22,5,0
22108489,Habitación Ideal para Vacacionar en la  CDMX,99441079,Jorge,,Coyoacán,19.31461,-99.10321,Private room,200,3,0,,,1,365
22109512,Suite balcón Condesa.,119949635,Jonathan,,Cuauhtémoc,19.41338,-99.17514,Private room,600,2,11,2018-01-17,0.30,1,364
22109901,Cozy private room Acacias-Coyoacán area,33299998,Maria,,Benito Juárez,19.36542,-99.17231,Private room,314,5,23,2020-03-07,0.65,1,178
22109910,SuiteMatrimonial/BañoCompartido/TotalmenteEquip 04,98047252,Maria Jose,,La Magdalena Contreras,19.31116,-99.22129,Private room,400,7,9,2020-01-07,0.26,5,327
22115216,SANITIZADO Cama King Reforma,88365870,Anya,,Cuauhtémoc,19.42279,-99.17177,Private room,330,1,77,2020-11-22,2.08,16,72
22117912,Hogar familiar,156725092,Carlos,,Iztapalapa,19.37034,-99.11266,Entire home/apt,450,5,0,,,1,365
22119103,Linda suite a 15 mins Centro de Coyoacán,96598797,Alexa,,Coyoacán,19.35585,-99.13071,Private room,550,6,0,,,1,88
22119481,Mondrian,148237408,Rocio,,Cuauhtémoc,19.40847,-99.16895,Entire home/apt,1450,14,8,2020-03-17,0.23,1,87
22122146,Agradable recamara muy iluminada,40068502,Sandra,,Coyoacán,19.3148,-99.12834,Private room,300,1,1,2017-12-25,0.03,3,334
22122832,Habitación con baño privado en Roma Norte,49973515,Reynaldo,,Cuauhtémoc,19.4202,-99.17049,Private room,269,1,8,2018-09-30,0.22,2,358
22124911,Casa  amplia con sol y tranquila,1809368,Flor,,Coyoacán,19.34221,-99.13021,Private room,1500,1,0,,,6,179
